algorithm_id,algorithm_label,variant_id,variant_label,seed,checkpoint_index,iteration,episode,nodes_touched,wall_clock_seconds,exploitability,average_policy_value,policy_value_error,average_policy_loss,regret_loss_player_0,regret_loss_player_1,baseline_loss_player_0,baseline_loss_player_1,checkpoint_kind,checkpoint_target_nodes,is_initial_policy_evaluation,is_final_policy_evaluation,result_source,calibration_loss,unbiased_estimator_sample_count,control_variate_beta_mean,control_variate_beta_min,control_variate_beta_max,predicted_residual_variance_mean,q_ensemble_disagreement_mean,q_residual_abs_mean,control_residual_abs_mean,importance_correction_abs_mean,policy_weighted_advantage_abs_mean,full_support_sampling_min_probability,calibration_target_version,q_ensemble_target_version_min,q_ensemble_target_version_max,prediction_gate_player_0,prediction_gate_player_1,prediction_gate_next_player_0,prediction_gate_next_player_1,predictor_relative_skill_player_0,predictor_relative_skill_player_1,predictor_holdout_mse_player_0,predictor_holdout_mse_player_1,predictor_zero_mse_player_0,predictor_zero_mse_player_1,q_fold_0_replay_size,q_fold_1_replay_size,q_fold_2_replay_size
vr_deep_dcfr_plus,VR-DeepDCFR+,vr_deep_dcfr_plus,VR-DeepDCFR+,0,23,22,440000,3455968.0,5027.912216019,0.19689673047693926,-0.08839215535909889,0.002785731281098894,0.016874508932232857,0.14414800703525543,0.15767556428909302,0.007754642516374588,0.005699351895600557,outer_iteration,,False,False,experiment_7_new_run,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vr_deep_dcfr_plus,VR-DeepDCFR+,vr_deep_dcfr_plus,VR-DeepDCFR+,0,24,23,460000,3614671.0,5253.201133317,0.1796730125514793,-0.08184726732608441,0.003759156751915585,0.017843058332800865,0.1796899437904358,0.1755029410123825,0.008114544674754143,0.004850410390645266,outer_iteration,,False,False,experiment_7_new_run,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vr_deep_dcfr_plus,VR-DeepDCFR+,vr_deep_dcfr_plus,VR-DeepDCFR+,0,25,24,480000,3773287.0,5477.515590661,0.18579694813168707,-0.09211869023758551,0.006512266159585514,0.01700541377067566,0.1320851445198059,0.17324919998645782,0.006970101501792669,0.005865857005119324,outer_iteration,,False,False,experiment_7_new_run,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vr_deep_dcfr_plus,VR-DeepDCFR+,vr_deep_dcfr_plus,VR-DeepDCFR+,0,26,25,500000,3931893.0,5704.849796572,0.17869293048836626,-0.08761272536331463,0.002006301285314635,0.017931630834937096,0.1381966471672058,0.17082591354846954,0.006764231249690056,0.004486531484872103,outer_iteration,,False,False,experiment_7_new_run,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vr_deep_dcfr_plus,VR-DeepDCFR+,vr_deep_dcfr_plus,VR-DeepDCFR+,0,27,26,520000,4091201.0,5928.766383344,0.19709786544076424,-0.09760431385265339,0.011997889774653395,0.015155569650232792,0.13892056047916412,0.16105978190898895,0.0067054880782961845,0.006803053431212902,outer_iteration,,False,False,experiment_7_new_run,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vr_deep_dcfr_plus,VR-DeepDCFR+,vr_deep_dcfr_plus,VR-DeepDCFR+,0,28,27,540000,4250462.0,6153.943113685,0.16392149575995546,-0.10241944466923836,0.016813020591238362,0.01632656157016754,0.1695190817117691,0.19731320440769196,0.006276546977460384,0.0052115414291620255,outer_iteration,,False,False,experiment_7_new_run,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vr_deep_dcfr_plus,VR-DeepDCFR+,vr_deep_dcfr_plus,VR-DeepDCFR+,0,29,28,560000,4409795.0,6378.1680106700005,0.17406351687726407,-0.09968201490643089,0.014075590828430892,0.017743593081831932,0.15361900627613068,0.17349912226200104,0.0049550957046449184,0.006012445781379938,outer_iteration,,False,False,experiment_7_new_run,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vr_deep_dcfr_plus,VR-DeepDCFR+,vr_deep_dcfr_plus,VR-DeepDCFR+,0,30,29,580000,4568690.0,6607.405180795,0.17906286617571038,-0.09851461379736454,0.01290818971936454,0.016640372574329376,0.2130671739578247,0.16229693591594696,0.005289825610816479,0.0062851193360984325,outer_iteration,,False,False,experiment_7_new_run,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vr_deep_dcfr_plus,VR-DeepDCFR+,vr_deep_dcfr_plus,VR-DeepDCFR+,0,31,30,600000,4727711.0,6833.412197879,0.18327323373169582,-0.10401934740225766,0.01841292332425766,0.017598552629351616,0.21128620207309723,0.12113381177186966,0.005335526075214148,0.0066084908321499825,outer_iteration,,False,False,experiment_7_new_run,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vr_deep_dcfr_plus,VR-DeepDCFR+,vr_deep_dcfr_plus,VR-DeepDCFR+,0,32,31,620000,4885406.0,7057.0921460340005,0.17467710179437648,-0.10199309555375227,0.016386671475752276,0.01479080319404602,0.2005901336669922,0.1543375551700592,0.005140877794474363,0.005907141137868166,outer_iteration,,False,False,experiment_7_new_run,,,,,,,,,,,,,,,,,,,,,,,,,,,,
