algorithm_id,algorithm_label,seed,checkpoint_index,iteration,episode,nodes_touched,wall_clock_seconds,exploitability,average_policy_value,policy_value_error,is_final_policy_evaluation
escher_exp28,ESCHER (Experiment 28),1,6,61.0,,708648.0,2019.1278388500214,1.0395262384595076,-0.18495614507192987,0.09934972099392987,False
escher_exp28,ESCHER (Experiment 28),1,7,71.0,,823276.0,2341.9165890216827,0.966036063066281,-0.18425870961281202,0.09865228553481202,False
escher_exp28,ESCHER (Experiment 28),1,8,81.0,,939834.0,2671.471819639206,0.9591906733451772,-0.1515633701897472,0.0659569461117472,False
escher_exp28,ESCHER (Experiment 28),1,9,80,,939834.0,2671.471819639206,0.9980432983065449,-0.13779928906761724,0.05219286498961724,True
escher_exp28,ESCHER (Experiment 28),2,0,1.0,,11710.0,61.97517156600952,2.6350391530571198,1.548142719826894,1.633749143904894,False
escher_exp28,ESCHER (Experiment 28),2,1,11.0,,131683.0,401.3406901359558,1.3702360665602629,-0.2292744895500512,0.1436680654720512,False
escher_exp28,ESCHER (Experiment 28),2,2,21.0,,251878.0,745.3918991088867,1.231971090722395,-0.14141436770135699,0.05580794362335699,False
escher_exp28,ESCHER (Experiment 28),2,3,31.0,,370857.0,1074.8430798053741,0.8692837895028067,-0.1798029582427887,0.0941965341647887,False
escher_exp28,ESCHER (Experiment 28),2,4,41.0,,491032.0,1411.024212360382,0.7967311597386142,-0.08994544002254792,0.004339015944547928,False
escher_exp28,ESCHER (Experiment 28),2,5,51.0,,610827.0,1739.7627637386322,0.6943485489374992,-0.1359245086915448,0.0503180846135448,False
escher_exp28,ESCHER (Experiment 28),2,6,61.0,,729150.0,2068.04416847229,0.6932846334206806,-0.12910018594416933,0.043493761866169336,False
escher_exp28,ESCHER (Experiment 28),2,7,71.0,,845002.0,2389.478533744812,0.6894568111558215,-0.1387268886511695,0.053120464573169504,False
escher_exp28,ESCHER (Experiment 28),2,8,81.0,,962274.0,2714.2925193309784,0.7106086420708799,-0.16059222654217264,0.07498580246417265,False
escher_exp28,ESCHER (Experiment 28),2,9,80,,962274.0,2714.2925193309784,0.7334538132030335,-0.1538723205641239,0.0682658964861239,True
vr_deep_dcfr_plus,VR-DeepDCFR+,0,0,1,20000,135972.0,211.6773969900005,2.3187561365593945,1.0000487159186513,1.0856551399966512,False
vr_deep_dcfr_plus,VR-DeepDCFR+,0,1,2,40000,257753.0,413.42580110000017,1.7771933730278564,0.9989477390167901,1.0845541630947901,False
vr_deep_dcfr_plus,VR-DeepDCFR+,0,2,3,60000,418929.0,638.6594239660008,1.1882500616362723,0.11647899404918854,0.20208541812718855,False
vr_deep_dcfr_plus,VR-DeepDCFR+,0,3,4,80000,580921.0,864.5741161260012,0.943169672848562,0.029716536187891468,0.11532296026589146,False
vr_deep_dcfr_plus,VR-DeepDCFR+,0,4,5,100000,744692.0,1091.235436293,0.7515894426995686,0.07202439782019049,0.1576308218981905,False
vr_deep_dcfr_plus,VR-DeepDCFR+,0,5,6,120000,909635.0,1317.6830497690007,0.6990209355624849,0.08702348475962654,0.17262990883762652,False
